Código Institución,Nombre Institución,Número Identificación Tributaria - NIT,Principal/Seccional,Naturaleza Jurídica,Sector,Carácter Académico,Cod Departamento,Departamento Domicilio,Cod Municipio,Municipio Domicilio,Dirección Domicilio,Teléfono Domicilio,Norma de Creación,Fecha Norma de Creación,¿Acreditada Alta Calidad?,Fecha Acreditación,Resolución de la acreditación,Vigencia de la acreditación,Estado,Fecha Actualizacion,Página Web
1106,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,891800330-1,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,15,BOYACA,15001,TUNJA,Avenida Central del Norte,7422175,DECRETO 2655 Gobierno Nacional,,SI,01/24/2015 12:03:00 AM,3910,6,Activa en la Fecha de Actualizacion,06/05/2020 12:00:00 AM,www.uptc.edu.co
1801,UNIVERSIDAD LA GRAN COLOMBIA,860.015.685,PRINCIPAL,CORPORACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Carrera 6 No. 13-40,3276999,RESOLUCION 47 MINISTERIO DE JUSTICIA,09/25/1953 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ugc.edu.co
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Carrera 45 #26 - 85,3165000,LEY 66 Congreso de la Rep�blica,12/31/1969 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unal.edu.co
1102,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,SECCIONAL,NACIONAL,OFICIAL,UNIVERSIDAD,5,ANTIOQUIA,5001,MEDELLIN,"Calle 59A No 63 - 20, N�cleo El Volador",4309000,LEY 66 Congreso de la Republica,,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.medellin.unal.edu.co
1103,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,SECCIONAL,NACIONAL,OFICIAL,UNIVERSIDAD,17,CALDAS,17001,MANIZALES,Carrera 27 No. 64-60,8879300,LEY 66 Congreso de la Republica,12/31/1969 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.manizales.unal.edu.co
1104,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,SECCIONAL,NACIONAL,OFICIAL,UNIVERSIDAD,76,VALLE DEL CAUCA,76520,PALMIRA,"Carrera 32 No 12 - 00 Chapinero, V�a Candelaria",2868888,LEY 66 Congreso de la Republica,12/31/1969 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.palmira.unal.edu.co
1105,UNIVERSIDAD PEDAGOGICA NACIONAL,899.999.124-4,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Calle  73  No.11-95,3471190,DECRETO 197 Gobierno Nacional,,SI,08/17/2016 12:00:00 AM,16715,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.pedagogica.edu.co
1107,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,891800330-1,SECCIONAL,NACIONAL,OFICIAL,UNIVERSIDAD,15,BOYACA,15238,DUITAMA,Carrera 18 Calle 23,604100,DECRETO 2655 Gobierno Nacional,,SI,03/24/2015 12:00:00 AM,3910,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uptc.edu.co
1108,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,891800330-1,SECCIONAL,NACIONAL,OFICIAL,UNIVERSIDAD,15,BOYACA,15759,SOGAMOSO,Calle 4 Sur No. 15-134,701693,DECRETO 2655 Gobierno Nacional.,,SI,03/24/2015 12:00:00 AM,3910,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uptc.edu.co
1109,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,891800330-1,SECCIONAL,NACIONAL,OFICIAL,UNIVERSIDAD,15,BOYACA,15176,CHIQUINQUIRA,Calle 14A No. 2-37,262598,DECRETO 2655 Gobierno Nacional,10/10/1953 12:00:00 AM,SI,03/24/2015 12:00:00 AM,3910,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uptc.edu.co
